accident_reference,year,slightsevere,sex_of_casualty,age_band_of_casualty,under21,over65,casualty_home_area_type,casualty_imd_decile,casualty_depdecile,number_of_vehicles,number_of_casualties,road_type,speed_limit,at_junction,light_conditions,weather_effect,road_wetness,special_conditions,trunk_road_flag,bike_movement,restricted_lane,hit_object_in_carriageway,hit_object_off_carriageway,hit_object,first_point_of_impact,date,time,day_of_week,local_authority_district,local_authority_ons_district,urban_or_rural_area,latitude,longitude,lsoa_of_accident_location,Mean_age,Median_age,total_car_hh,no_car_hh,X1_car_hh,X2_car_hh,X3_car_hh,X16_74_all,X16_74_2km,X16_74_2_5km,X16_74_5_10km,X16_74_10_20km,X16_74_20_30km,X16_74_30_40km,X16_74_40_60km,X16_74_60km,X16_74_home_based,X16_74_other,density._persons,usual_residents_persons,land_area,hh_size_mean,hh_size_1,hh_size_2,hh_size_3,hh_size_4,hh_size_5,hh_size_6,hh_size_7,trans_mode_home,trans_mode_tram,trans_mode_rail,trans_mode_bus,trans_mode_taxi,trans_mode_scooter,trans_mode_car,trans_mode_psgr_car,trans_mode_bike,trans_mode_walk,trans_mode_other,cycling_lane_km,cycling_lane_km_norm,tram_rail_count,bus_count,bike_theft_reports,road_length,severance_km
06J171072,2020,Slight,Male,26 - 35,0,0,Urban area,More deprived 30-40%,4,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,1,2020-05-06,08:15:00,Wednesday,Stockport,E08000007,Urban,53.412988,-2.155277,E01005758,40.28343558,40,861,479.5,314,55.5,12,654.5,90,111,98,59,5,3,5,5.5,192,86,27.78151745,1444.5,51.995,488,232.5,95.5,28.5,10,3.5,0,1.5,192,0.5,35,82.5,5.5,1.5,217.5,24.5,14,79.5,4,5.619360184,5.41e-6,0,79,129,15025.43001,6.337720315
06J171226,2020,Slight,Female,36 - 45,0,0,Urban area,Most deprived 10%,1,2,1,Single carriageway,30,1,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,1,2020-03-23,18:57:00,Monday,Stockport,E08000007,Urban,53.393899,-2.184817,E01005762,34.98618307,34,799,250,336,179,34,847,112,187,123,72,10,6,3,13,211,110,40.13425549,1973,49.16,236,246,152,90,44,18,12,3,211,2,18,53,7,2,399,37,20,87,13,0.240697745,4.91e-7,0,9,2,4664.26291,1.801953982
06J171559,2020,Slight,Male,56 - 65,0,0,Urban area,More deprived 30-40%,4,2,1,Dual carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,0,2020-05-14,15:10:00,Thursday,Stockport,E08000007,Urban,53.411787,-2.166119,E01005917,36.66438746,36,900,330,423,133,14,916,142,145,155,79,13,4,9,7,256,106,36.00236081,1830,50.83,369,312,116,60,29,8,1,5,256,2,17,119,10,5,362,28,12,98,4,2.345506175,4.65e-6,0,52,31,6777.506159,4.483092588
06J172053,2020,Slight,Female,46 - 55,0,0,Urban area,Less deprived 20-30%,8,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,4,2020-06-11,17:18:00,Thursday,Stockport,E08000007,Urban,53.424301,-2.164603,E01005915,39.11381074,39,716,206,334,149,27,763,125,147,113,53,11,4,2,8,183,117,23.72491959,1549,65.29,258,237,119,75,20,5,1,3,183,0,6,56,10,2,371,38,9,76,7,1.783677941,2.73e-6,0,13,11,8776.897343,2.402479995
06J172865,2020,Slight,Male,11 - 15,1,0,Urban area,Less deprived 20-30%,8,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,3,2020-07-01,17:45:00,Wednesday,Stockport,E08000007,Urban,53.419949,-2.189549,E01005867,44.6673428,48,646,91,318,177,60,679,34,72,131,28,12,1,6,6,322,67,43.38407494,1482,34.16,220,206,93,99,20,4,3,2,322,6,8,12,1,0,260,17,23,29,3,0.305989559,8.86e-7,0,10,11,4125.501003,0.768535803
06J173636,2020,Slight,Female,26 - 35,0,0,Urban area,More deprived 10-20%,2,2,1,One way street,20,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,4,2020-07-31,18:30:00,Friday,Stockport,E08000007,Urban,53.444077,-2.157031,E01005889,42.76775568,44,674,225,296,119,34,654,47,109,133,56,3,5,3,8,184,106,51.80196578,1423,27.47,253,219,104,76,15,3,0,0,184,1,10,61,0,2,326,21,11,35,3,1.765651712,6.37e-6,0,13,6,5070.814616,1.490317827
06J174752,2020,Severe/Fatal,Male,46 - 55,0,0,Urban area,Most deprived 10%,1,2,1,Roundabout,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,1,2020-09-05,08:50:00,Saturday,Stockport,E08000007,Urban,53.418688,-2.161016,E01005915,39.11381074,39,716,206,334,149,27,763,125,147,113,53,11,4,2,8,183,117,23.72491959,1549,65.29,258,237,119,75,20,5,1,3,183,0,6,56,10,2,371,38,9,76,7,1.783677941,2.73e-6,0,13,11,8776.897343,2.402479995
06J175275,2020,Slight,Male,6 - 10,1,0,Urban area,Less deprived 20-30%,8,3,1,Single carriageway,20,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,3,2020-09-18,16:20:00,Friday,Stockport,E08000007,Urban,53.447207,-2.148732,E01005888,36.41908976,37,589,116,276,154,43,722,30,148,154,63,5,3,7,5,195,112,81.68713294,1530,18.73,142,180,112,104,31,13,5,1,195,2,14,47,5,1,388,22,11,32,4,0.120884304,6.54e-7,0,7,2,1875.348581,0.855370501
06J177837,2020,Slight,Male,36 - 45,0,0,Urban area,More deprived 20-30%,3,2,1,Roundabout,30,0,Darkness - lights lit,0,1,0,Non-trunk,1,1,1,1,Both,2,2020-12-01,07:00:00,Tuesday,Stockport,E08000007,Urban,53.409782,-2.166834,E01005861,43.77010724,47,711,124,359,191,37,767,66,95,120,54,8,2,6,7,307,102,31.91973521,1543,48.34,274,203,107,97,27,2,1,0,307,4,15,23,3,5,325,13,20,47,8,2.122696892,4.39e-6,0,9,5,6793.108641,1.734187331
06J178283,2020,Slight,Female,21 - 25,0,0,Urban area,Least deprived 10%,10,2,1,Single carriageway,30,0,Darkness - lights lit,0,1,0,Non-trunk,1,1,1,1,Both,4,2020-11-23,17:05:00,Monday,Stockport,E08000007,Urban,53.398746,-2.158399,E01005766,38.18758527,37,801,320,347,104,30,808,143,156,104,67,9,1,1,3,219,105,59.31863727,1776,29.94,324,210,144,63,27,21,5,5,219,0,20,84,17,3,307,26,18,110,4,0.536515904,1.77e-6,0,21,13,7314.316004,2.75772031
