accident_reference,year,slightsevere,sex_of_casualty,age_band_of_casualty,under21,over65,casualty_home_area_type,casualty_imd_decile,casualty_depdecile,number_of_vehicles,number_of_casualties,road_type,speed_limit,at_junction,light_conditions,weather_effect,road_wetness,special_conditions,trunk_road_flag,bike_movement,restricted_lane,hit_object_in_carriageway,hit_object_off_carriageway,hit_object,first_point_of_impact,date,time,day_of_week,local_authority_district,local_authority_ons_district,urban_or_rural_area,latitude,longitude,lsoa_of_accident_location,Mean_age,Median_age,total_car_hh,no_car_hh,X1_car_hh,X2_car_hh,X3_car_hh,X16_74_all,X16_74_2km,X16_74_2_5km,X16_74_5_10km,X16_74_10_20km,X16_74_20_30km,X16_74_30_40km,X16_74_40_60km,X16_74_60km,X16_74_home_based,X16_74_other,density._persons,usual_residents_persons,land_area,hh_size_mean,hh_size_1,hh_size_2,hh_size_3,hh_size_4,hh_size_5,hh_size_6,hh_size_7,trans_mode_home,trans_mode_tram,trans_mode_rail,trans_mode_bus,trans_mode_taxi,trans_mode_scooter,trans_mode_car,trans_mode_psgr_car,trans_mode_bike,trans_mode_walk,trans_mode_other,cycling_lane_km,cycling_lane_km_norm,tram_rail_count,bus_count,bike_theft_reports,road_length,severance_km
06A167327,2020,Slight,Female,26 - 35,0,0,Urban area,More deprived 10-20%,2,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,2,2020-01-19,12:00:00,Sunday,Manchester,E08000003,Urban,53.476458,-2.2314,E01033654,23.86747199,24,563,379,152,32,0,718,136,40,59,47,18,3,11,25,342,37,64.42446043,1791,27.8,263,263,33,3,0,1,0,0,342,21,28,40,5,0,104,17,22,138,3,2.26222364,8.06e-6,0,26,84,6137.358757,2.721121445
06A171184,2020,Slight,Male,26 - 35,0,0,Urban area,More deprived 20-30%,3,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,3,2020-05-06,17:00:00,Wednesday,Manchester,E08000003,Urban,53.487838000000004,-2.240022,E01033658,30.9487666,30,712,531,163,17,1,831,162,64,58,41,10,5,12,10,427,42,22.81132384,1394,61.11,363,307,34,4,2,0,0,1,427,37,33,56,0,1,68,5,17,180,6,2.915548222,4.78e-6,4,100,687,11257.07516,5.344013367
06A171671,2020,Slight,Male,26 - 35,0,0,Urban area,More deprived 30-40%,4,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,4,2020-05-29,20:20:00,Friday,Manchester,E08000003,Urban,53.478061,-2.239018,E01033653,29.28743041,26,1146,865,253,21,7,1139,205,68,77,60,17,10,5,10,598,89,59.26993276,1851,31.23,597,466,67,16,1,0,0,0,598,43,43,58,3,0,112,16,36,219,11,1.692927985,5.52e-6,1,107,453,7402.768836,3.240507463
06A172407,2020,Slight,Male,11 - 15,1,0,Urban area,Most deprived 10%,1,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,3,2020-06-20,18:27:00,Saturday,Manchester,E08000003,Urban,53.494059,-2.21588,E01005129,35.12369231,34,832,388,357,79,8,824,118,173,93,75,13,3,5,15,224,105,42.79739777,1842,43.04,337,250,102,79,38,16,10,4,224,11,20,125,14,0,250,21,28,124,7,0.698466922,1.63e-6,0,14,11,5728.572713,2.059406818
06A172724,2020,Slight,Male,46 - 55,0,0,Urban area,Most deprived 10%,1,2,1,Single carriageway,20,1,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,4,2020-06-26,10:20:00,Friday,Manchester,E08000003,Urban,53.484458,-2.24056,E01033658,30.9487666,30,712,531,163,17,1,831,162,64,58,41,10,5,12,10,427,42,22.81132384,1394,61.11,363,307,34,4,2,0,0,1,427,37,33,56,0,1,68,5,17,180,6,2.915548222,4.78e-6,4,100,687,11257.07516,5.344013367
06A172735,2020,Slight,Male,36 - 45,0,0,Urban area,More deprived 20-30%,3,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,1,2020-07-08,13:54:00,Wednesday,Manchester,E08000003,Urban,53.473009,-2.248285,E01033656,23.57295455,23,485,298,166,21,0,892,190,55,75,52,18,16,15,45,391,35,129.6755725,2718,20.96,163,281,37,3,0,0,0,0,391,40,28,59,21,0,104,18,16,203,12,1.787929259,8.48e-6,0,12,59,3974.089098,1.054149882
06A173236,2020,Slight,Female,26 - 35,0,0,Urban area,Most deprived 10%,1,2,1,One way street,20,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,3,2020-07-25,13:20:00,Saturday,Manchester,E08000003,Urban,53.483782,-2.232178,E01033659,30.4703504,29,710,410,253.5,42.5,4,999.5,135.5,76.5,56.5,65.5,9.5,9,7,6.5,587,46.5,136.5543898,1236.5,9.055,251.5,402,47,7,0.5,1,0.5,0,587,24,31,35,8,1,136.5,7,15.5,149,4,0.689303361,3.8e-6,0,20,84,5561.582659,1.993134897
06A173670,2020,Severe/Fatal,Male,6 - 10,1,0,Urban area,More deprived 20-30%,3,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,1,2020-08-09,17:55:00,Sunday,Manchester,E08000003,Urban,53.469156,-2.242373,E01005212,25.91968447,22,761,433,299,26,3,871,144,94,72,55,27,7,25,29,335,83,112.4820144,3127,27.8,324,243,108,52,23,6,3,2,335,17,34,99,14,2,172,16,37,136,10,2.112358829,7.57e-6,0,19,211,8200.01292,1.446376403
06A174539,2020,Slight,Female,21 - 25,0,0,Urban area,More deprived 10-20%,2,2,1,Single carriageway,30,0,Daylight,0,0,1,Non-trunk,1,1,1,1,Both,1,2020-09-04,08:17:00,Friday,Manchester,E08000003,Urban,53.478922,-2.253247,E01033681,32.06413545,30,850,367,428,51,4,1098,163,89,54,49,14,6,14,8,661,40,38.76420869,1330,34.31,415,395,35,5,0,0,0,0,661,21,18,22,6,1,156,10,19,177,8,2.21916639,6.49e-6,0,21,46,6095.436681,2.266261708
06A175230,2020,Slight,Female,26 - 35,0,0,Urban area,More deprived 30-40%,4,2,1,Single carriageway,30,1,Darkness - lights lit,0,0,0,Non-trunk,1,1,1,1,Both,4,2020-09-16,20:30:00,Wednesday,Manchester,E08000003,Urban,53.47463,-2.237627,E01005128,26.06866792,25,695,542,138,12,3,634,108,28,40,40,8,5,1,23,355,26,148.4249084,2026,13.65,365,298,25,6,0,0,1,0,355,20,25,32,4,0,51,13,7,123,5,0.834327504,6.09e-6,0,21,84,3570.664978,0.943179815
06A175307,2020,Slight,Male,26 - 35,0,0,Urban area,More deprived 20-30%,3,2,1,One way street,20,0,Daylight,0,0,1,Non-trunk,1,1,1,1,Both,3,2020-09-10,12:44:00,Thursday,Manchester,E08000003,Urban,53.486513,-2.242019,E01033658,30.9487666,30,712,531,163,17,1,831,162,64,58,41,10,5,12,10,427,42,22.81132384,1394,61.11,363,307,34,4,2,0,0,1,427,37,33,56,0,1,68,5,17,180,6,2.915548222,4.78e-6,4,100,687,11257.07516,5.344013367
06A175358,2020,Slight,Female,46 - 55,0,0,Urban area,More deprived 10-20%,2,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,2,2020-09-21,17:30:00,Monday,Manchester,E08000003,Urban,53.474106,-2.248005,E01033656,23.57295455,23,485,298,166,21,0,892,190,55,75,52,18,16,15,45,391,35,129.6755725,2718,20.96,163,281,37,3,0,0,0,0,391,40,28,59,21,0,104,18,16,203,12,1.787929259,8.48e-6,0,12,59,3974.089098,1.054149882
06A176242,2020,Severe/Fatal,Female,21 - 25,0,0,Urban area,More deprived 10-20%,2,2,1,Dual carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,3,2020-10-05,12:11:00,Monday,Manchester,E08000003,Urban,53.486895,-2.235209,E01033667,32.42880524,30,879,667,186,20,6,1044,212,86,73,67,13,5,12,9,480,87,112.2740964,1491,13.28,389,440,39,10,1,1,0,0,480,47,32,53,6,0,112,9,37,260,8,0.495255755,3.67e-6,0,17,110,3785.454354,1.200398011
06A267512,2020,Slight,Male,21 - 25,0,0,Urban area,More deprived 10-20%,2,2,1,Single carriageway,30,0,Darkness - lights lit,0,0,0,Non-trunk,1,1,1,1,Both,1,2020-01-20,17:45:00,Monday,Manchester,E08000003,Urban,53.466744,-2.252587,E01005214,29.6342537,29,987,444,441,82,20,1219,189,183,139,79,14,7,5,13,489,101,99.79114453,2389,23.94,296,319,170,117,39,26,7,10,489,20,13,137,20,3,242,21,68,184,26,0.427851726,1.79e-6,0,13,28,3746.053306,0.573590045
06A268025,2020,Slight,Male,46 - 55,0,0,Urban area,Less deprived 20-30%,8,2,1,Single carriageway,30,0,Darkness - lights lit,1,1,0,Non-trunk,1,1,1,1,Both,1,2020-01-22,18:17:00,Wednesday,Manchester,E08000003,Urban,53.474241,-2.248051,E01033677,28.74259681,27,610,371,209,27,3,679,109,36,45,37,11,3,4,6,390,38,39.32844462,1019,25.91,285,268,46,6,2,1,1,1,390,32,29,32,3,3,67,3,3,106,7,0.964170017,3.71e-6,1,37,325,4004.664031,2.691640104
06A268245,2020,Severe/Fatal,Female,26 - 35,0,0,Urban area,More deprived 40-50%,5,2,1,Single carriageway,30,0,Daylight,0,1,0,Non-trunk,1,1,1,1,Both,4,2020-01-31,15:50:00,Friday,Manchester,E08000003,Urban,53.516418,-2.168927,E01005247,42.75759717,44,623,128,304,158,33,704,72,115,155,79,6,4,7,4,175,87,59.18367347,1421,24.01,199,213,99,78,23,8,2,1,175,19,0,33,9,0,362,47,22,25,12,0.075578296,3.12e-7,0,14,3,6017.069694,0.183225234
06A268804,2020,Slight,Male,26 - 35,0,0,Urban area,More deprived 20-30%,3,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,1,2020-02-17,16:45:00,Monday,Manchester,E08000003,Urban,53.471152,-2.26346,E01033660,31.03346457,30,863,365,423,70,5,1270,163,164,83,84,22,8,12,12,684,38,148.7073423,1438,9.67,329,494,32,6,1,0,0,0,684,99,17,26,13,0,191,11,27,196,5,0.618593971,6.15e-6,1,4,17,3368.259545,0.5500903
06A269024,2020,Slight,Male,56 - 65,0,0,Urban area,More deprived 10-20%,2,2,1,Single carriageway,30,0,Darkness - lights lit,0,1,0,Non-trunk,1,1,1,1,Both,3,2020-02-19,18:40:00,Wednesday,Manchester,E08000003,Urban,53.463304,-2.219234,E01005062,27.63575,26,419.5,213.5,161.5,36.5,8,491.5,137.5,67,41.5,33,11,2.5,6,4,144.5,44.5,51.12359551,1501.5,29.37,119.5,106,74.5,65.5,35,8.5,6.5,4.5,144.5,3,10,64,7,0.5,103.5,11.5,17,121.5,7,3.633340733,6.18e-6,0,28,244,8894.878973,2.017187943
06A272209,2020,Slight,Male,26 - 35,0,0,Urban area,More deprived 10-20%,2,2,1,Single carriageway,30,0,Daylight,1,0,0,Non-trunk,1,1,1,1,Both,3,2020-06-22,18:08:00,Monday,Manchester,E08000003,Urban,53.489255,-2.241582,E01033655,31.1631644,30,745,417,267,60,1,1059,178,105,52,59,25,12,11,10,566,41,109.7920277,1267,11.54,288,412,34,8,3,0,0,0,566,33,36,23,8,2,164,7,14,198,9,0.213897058,1.86e-6,0,3,10,1899.718906,0.546789646
06A273109,2020,Slight,Male,26 - 35,0,0,Urban area,Less deprived 10-20%,9,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,1,2020-07-13,07:00:00,Monday,Manchester,E08000003,Urban,53.508373,-2.241827,E01005145,30.68934316,30,776,248,358,140,30,890,173,126,108,47,7,14,8,12,163,232,156.8146214,3003,19.15,137,124,101,125,118,84,47,40,163,17,8,104,29,3,365,54,9,99,38,0.35565786,1.88e-6,0,5,6,2975.959705,0.350504559
06A274552,2020,Slight,Male,26 - 35,0,0,Urban area,More deprived 30-40%,4,2,1,Single carriageway,30,0,Darkness - lights lit,1,0,0,Non-trunk,1,1,1,1,Both,4,2020-08-29,22:35:00,Saturday,Manchester,E08000003,Urban,53.506689,-2.238862,E01005145,30.68934316,30,776,248,358,140,30,890,173,126,108,47,7,14,8,12,163,232,156.8146214,3003,19.15,137,124,101,125,118,84,47,40,163,17,8,104,29,3,365,54,9,99,38,0.35565786,1.88e-6,0,5,6,2975.959705,0.350504559
06A275338,2020,Slight,Male,36 - 45,0,0,Urban area,Most deprived 10%,1,2,1,Dual carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,4,2020-09-04,18:24:00,Friday,Manchester,E08000003,Urban,53.47521,-2.216417,E01005061,32.54834606,32,656,278,295,70,13,588,97,109,100,57,9,5,12,18,92,89,20.77922078,1792,86.24,210,141,108,95,53,28,15,9,92,11,9,130,16,1,229,18,22,56,6,0.483626085,5.58e-7,1,22,2,8783.493896,3.927293337
06A275966,2020,Slight,Male,26 - 35,0,0,Urban area,More deprived 10-20%,2,2,1,Single carriageway,30,1,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,3,2020-10-14,13:41:00,Wednesday,Manchester,E08000003,Urban,53.532966,-2.227725,E01005103,39.03415454,38,862,372,367,105,18,684,82,109,158,67,7,1,5,9,120,126,40.85637823,1832,44.84,384,212,128,81,41,10,2,4,120,14,5,76,27,2,322,39,13,53,10,0.272966437,6.04e-7,0,21,7,3734.059781,0.421772819
06A276634,2020,Slight,Male,56 - 65,0,0,Urban area,Most deprived 10%,1,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,4,2020-10-25,12:23:00,Sunday,Manchester,E08000003,Urban,53.455645,-2.19897,E01005234,30.98636364,31,650,263,283,82,22,686,100,127,114,66,9,7,8,5,103,147,115.2466368,2313,20.07,154,107,77,99,83,60,32,37,103,5,5,132,15,1,251,44,17,91,20,0,0,0,6,13,3600.917605,1.878270481
06A276678,2020,Slight,Male,46 - 55,0,0,Urban area,Less deprived 10-20%,9,2,1,Dual carriageway,30,0,Darkness - lights lit,0,0,0,Non-trunk,1,1,1,1,Both,1,2020-10-14,06:00:00,Wednesday,Manchester,E08000003,Urban,53.534017,-2.233026,E01005102,39.10948905,38,624,191,303,109,21,650,69,87,147,58,7,4,4,3,164,107,75.69060773,1370,18.1,202,219,114,66,17,5,0,0,164,18,1,52,9,2,302,38,9,45,7,0.680491593,3.69e-6,0,7,2,2583.953149,0.909956362
06A278056,2020,Slight,Female,26 - 35,0,0,Urban area,Most deprived 10%,1,2,1,Single carriageway,30,0,Darkness - lights lit,0,1,0,Non-trunk,1,1,1,1,Both,1,2020-12-08,20:00:00,Tuesday,Manchester,E08000003,Urban,53.503322,-2.218234,E01005203,33.55587949,34,858,465,330,57,6,651,100,176,97,65,15,4,10,15,89,80,31.46277009,2024,64.33,343,197,129,104,54,17,6,8,89,19,8,160,14,1,248,29,10,67,6,2.122889411,3.32e-6,0,25,9,6970.472567,1.945809671
06A366843,2020,Slight,Male,26 - 35,0,0,Urban area,More deprived 10-20%,2,2,1,Single carriageway,30,0,Darkness - lights lit,1,1,0,Non-trunk,1,1,1,1,Both,1,2020-01-02,18:45:00,Thursday,Manchester,E08000003,Urban,53.450119,-2.19274,E01005194,30.5024255,31,474,188.5,226,42.5,17,476.5,62.5,93.5,80.5,39.5,8.5,4,5,4.5,72,106.5,125.7869249,1558.5,12.39,99.5,106.5,72,67.5,67.5,33.5,19,11,72,1.5,3.5,91,10,0.5,195.5,24.5,20.5,44,12,0.123366239,4.89e-7,0,11,8,4726.32033,0.35580465
06A367112,2020,Slight,Male,26 - 35,0,0,Urban area,Most deprived 10%,1,2,1,Dual carriageway,30,0,Darkness - lighting unknown,0,0,0,Non-trunk,1,1,1,1,Both,3,2020-01-06,07:00:00,Monday,Manchester,E08000003,Urban,53.420557,-2.240728,E01005173,39.25641026,37,722,152,312,213,45,887,47,81,170,49,16,9,10,15,440,50,19.72208679,1618,82.04,231,262,101,98,23,3,1,1,440,18,5,30,2,1,291,11,36,49,6,2.384125171,2.9e-6,0,7,9,5785.249123,2.341560972
06A368195,2020,Slight,Male,46 - 55,0,0,Urban area,Most deprived 10%,1,2,1,One way street,30,0,Darkness - lights lit,0,0,0,Non-trunk,1,1,1,1,Both,4,2020-01-13,05:40:00,Monday,Manchester,E08000003,Urban,53.481689,-2.226847,E01033661,32.40400216,29,1201,619,489,87,6,1582,243,135,112,127,18,18,20,6,838,65,35.6527977,1988,55.76,532,570,84,12,3,0,0,0,838,51,53,50,13,0,292,11,30,242,6,1.700048683,3.05e-6,2,27,76,8391.114324,2.601711064
06A368252,2020,Severe/Fatal,Male,46 - 55,0,0,Urban area,Most deprived 10%,1,2,1,Single carriageway,30,0,Darkness - lights lit,0,1,0,Non-trunk,1,1,1,1,Both,1,2020-01-25,17:45:00,Saturday,Manchester,E08000003,Urban,53.42167,-2.218568,E01005125,34.85853977,33,614,170,296,118,30,702,69,103,143,41,12,6,8,4,224,92,68.70362287,1574,22.91,183,154,122,91,39,12,10,1,224,4,25,35,10,0,296,23,38,48,0,0.318344883,1.4e-6,1,7,21,4695.112427,1.41869149
06A369094,2020,Slight,Male,26 - 35,0,0,Urban area,More deprived 20-30%,3,2,1,Single carriageway,30,0,Daylight,0,1,0,Non-trunk,1,1,1,1,Both,2,2020-02-12,16:30:00,Wednesday,Manchester,E08000003,Urban,53.454224,-2.252378,E01005240,28.19362113,27,630.5,301,261,59,9.5,608,93,129,80.5,29.5,9,6,3.5,5.5,141.5,110.5,73.13583233,1814.5,24.81,198,144.5,91,80.5,46,30.5,24,16,141.5,4.5,10,87.5,18.5,1,209.5,20.5,35.5,63.5,15.5,1.921115883,3.87e-6,0,10,11,6484.102852,1.648596829
06A370897,2020,Slight,Male,36 - 45,0,0,Urban area,Less deprived 20-30%,8,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,2,2020-04-27,15:54:00,Monday,Manchester,E08000003,Urban,53.445361,-2.276702,E01005159,36.6254093,35,681,149,359,148,25,959,45,161,118,29,12,8,7,3,506,70,65.44715447,1610,24.6,198,226,142,77,30,7,1,2,506,48,7,30,2,2,234,11,70,41,9,1.272699721,5.1e-6,0,4,17,3093.973118,2.189877646
06A371759,2020,Slight,Male,26 - 35,0,0,Urban area,Most deprived 10%,1,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,3,2020-06-01,18:20:00,Monday,Manchester,E08000003,Urban,53.489618,-2.201254,E01033668,30.31804734,30,595,230,313,50,2,683,66,120,97,45,6,4,11,5,268,61,37.05844573,1154,31.14,259,214,61,37,14,8,0,2,268,47,16,50,12,4,195,17,18,50,6,2.933827522,9.19e-6,0,10,17,5918.384059,2.182839713
06A372210,2020,Slight,Male,36 - 45,0,0,Urban area,Less deprived 30-40%,7,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,1,2020-06-01,17:45:00,Monday,Manchester,E08000003,Urban,53.456935,-2.173043,E01005197,36.56088782,36,705,351,275,61,18,636,59,124,128,70,8,5,4,10,129,99,58.98224044,1727,29.28,285,154,100,72,55,33,5,5,129,2,3,150,10,3,239,38,15,42,6,0.384045472,1.31e-6,0,11,37,5744.568225,0.876376508
06A374145,2020,Slight,Male,56 - 65,0,0,Urban area,Less deprived 30-40%,7,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,3,2020-08-20,14:45:00,Thursday,Manchester,E08000003,Urban,53.387611,-2.242782,E01005290,36.91645078,36,683,253,303,102,25,669,103,156,70,50,12,0,3,13,148,114,50.4784689,1688,33.44,221,174,137,87,46,13,5,3,148,37,3,42,14,6,285,28,23,74,9,1.071936492,3.19e-6,0,11,7,2596.92826,1.404763799
06A374174,2020,Severe/Fatal,Female,11 - 15,1,0,Urban area,Most deprived 10%,1,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,1,2020-08-21,14:00:00,Friday,Manchester,E08000003,Urban,53.472516,-2.150614,E01033666,35.47425474,35,731,263.5,333.5,115.5,18.5,813.5,58.5,123,207,81.5,9,9,11,11.5,195.5,107.5,64.13617021,1884,29.375,232.5,191.5,128,95.5,50,18,6.5,9.5,195.5,13,13,127.5,9,1.5,338.5,33.5,20.5,48.5,13.5,1.616376739,2.76e-6,0,21,32,8846.831034,2.932651907
06A374219,2020,Severe/Fatal,Male,11 - 15,1,0,Urban area,Most deprived 10%,1,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,1,2020-08-14,12:40:00,Friday,Manchester,E08000003,Urban,53.450335,-2.168845,E01005196,29.10753769,30,522.5,167,241,100.5,14,594.5,55.5,108,127,68.5,10.5,3,5,10,113,94,66.28677994,1599.5,24.13,129,93.5,103,87,63,26.5,12,9,113,6,9.5,82.5,14.5,2,274.5,25,17.5,41,6,1.93064102,4.02e-6,0,18,9,2735.410364,0.417637262
06A374778,2020,Slight,Female,26 - 35,0,0,Urban area,More deprived 20-30%,3,2,1,Single carriageway,20,0,Daylight,1,1,0,Non-trunk,1,1,1,1,Both,1,2020-09-07,07:30:00,Monday,Manchester,E08000003,Urban,53.484137,-2.229844,E01033659,30.4703504,29,710,410,253.5,42.5,4,999.5,135.5,76.5,56.5,65.5,9.5,9,7,6.5,587,46.5,136.5543898,1236.5,9.055,251.5,402,47,7,0.5,1,0.5,0,587,24,31,35,8,1,136.5,7,15.5,149,4,0.689303361,3.8e-6,0,20,84,5561.582659,1.993134897
06A374796,2020,Slight,Male,21 - 25,0,0,Urban area,Most deprived 10%,1,2,1,Single carriageway,30,0,Daylight,0,1,0,Non-trunk,1,1,1,1,Both,3,2020-08-18,08:55:00,Tuesday,Manchester,E08000003,Urban,53.462922,-2.178972,E01005186,34.52177149,34,1052,352,518,146,36,1096,114,247,167,99,22,11,15,25,202,194,39.37992929,2896,73.54,308,251,201,172,74,32,10,5,202,11,9,189,11,0,503,40,23,85,22,0.062605979,8.56e-8,0,16,10,6094.552431,2.337786926
06A374878,2020,Slight,Female,16 - 20,1,0,Urban area,Most deprived 10%,1,2,1,Single carriageway,30,0,Daylight,0,1,0,Non-trunk,1,1,1,1,Both,2,2020-09-08,13:45:00,Tuesday,Manchester,E08000003,Urban,53.482085,-2.216708,E01033688,36.23062731,35,701,317,295,75,14,631,78,129,80,46,4,8,17,12,170,87,18.50368125,1709,92.36,266,188,97,75,50,15,9,3,170,21,18,75,10,0,219,18,13,74,13,4.181791696,4.48e-6,1,36,38,10505.28321,3.445742733
06A374990,2020,Slight,Male,11 - 15,1,0,Urban area,More deprived 30-40%,4,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,1,2020-09-11,17:05:00,Friday,Manchester,E08000003,Urban,53.440933,-2.283161,E01005155,37.12074948,38,668,130,363,157,18,911,20,98,159,46,12,10,10,3,490,63,38.13829787,1434,37.6,223,250,90,85,19,2,0,0,490,26,3,19,6,0,268,13,48,34,2,0.280617858,7.39e-7,0,6,6,2731.016228,0.232455843
06A375112,2020,Severe/Fatal,Male,11 - 15,1,0,Urban area,Most deprived 10%,1,2,1,Single carriageway,30,1,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,1,2020-09-12,19:33:00,Saturday,Manchester,E08000003,Urban,53.473713,-2.181262,E01005107,31.64444444,31,744,323,326,82,13,701,85,161,135,83,9,5,4,17,100,102,28.12283857,2033,72.29,240,156,136,106,66,28,7,3,100,16,14,125,10,1,317,43,8,65,6,2.994796102,4.17e-6,0,12,9,10399.49279,2.850167885
06A375932,2020,Severe/Fatal,Male,46 - 55,0,0,Urban area,Most deprived 10%,1,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,2,2020-10-10,12:34:00,Saturday,Manchester,E08000003,Urban,53.431862,-2.259606,E01005081,34.59106529,34,773,317,322,119,15,723,80,124,142,28,8,2,5,3,232,99,43.45337467,1822,41.93,301,192,109,102,33,15,14,5,232,52,2,35,10,2,287,24,24,46,9,1.214560907,2.89e-6,0,14,15,2544.509209,1.130160282
06A376058,2020,Slight,Male,26 - 35,0,0,Urban area,More deprived 10-20%,2,2,1,Single carriageway,30,0,Darkness - lights lit,0,0,0,Non-trunk,1,1,1,1,Both,1,2020-10-02,19:15:00,Friday,Manchester,E08000003,Urban,53.435515,-2.2125880000000002,E01005311,31.11082996,27,660,210,303,122,25,813,59,160,142,48,8,10,10,14,271,91,86.94616484,1825,20.99,179,189,102,89,45,28,19,9,271,5,23,81,12,0,286,20,49,53,13,0.312664683,1.51e-6,0,10,2,3670.824441,0.498599207
06A376705,2020,Slight,Male,26 - 35,0,0,Urban area,Most deprived 10%,1,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,1,2020-10-11,13:30:00,Sunday,Manchester,E08000003,Urban,53.448099,-2.179376,E01005200,32.78013877,33,962,315,472,152,23,985,76,138,177,76,9,4,12,7,331,155,45.96261682,2459,53.5,305,252,169,109,72,36,11,6,331,4,14,82,19,2,404,29,35,45,16,0.533427049,9.94e-7,0,16,7,4685.204358,1.290949041
06E167235,2020,Slight,Female,21 - 25,0,0,Urban area,More deprived 30-40%,4,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,1,2020-01-15,13:00:00,Wednesday,Manchester,E08000003,Urban,53.457825,-2.226856,E01005244,27.35116868,24,813,476,247,64,26,888,160,183,85,65,16,6,18,21,205,129,158.3597884,2993,18.9,226,171,107,138,74,70,16,12,205,12,13,164,15,1,219,29,37,167,23,1.289353585,6.75e-6,0,9,40,6017.132507,0.696996425
06E167991,2020,Slight,Male,46 - 55,0,0,Urban area,Less deprived 40-50%,6,2,1,Single carriageway,30,0,Darkness - lights lit,0,1,0,Non-trunk,1,1,1,1,Both,1,2020-01-17,17:15:00,Friday,Manchester,E08000003,Urban,53.470497,-2.262899,E01033660,31.03346457,30,863,365,423,70,5,1270,163,164,83,84,22,8,12,12,684,38,148.7073423,1438,9.67,329,494,32,6,1,0,0,0,684,99,17,26,13,0,191,11,27,196,5,0.618593971,6.15e-6,1,4,17,3368.259545,0.5500903
06E168332,2020,Slight,Male,26 - 35,0,0,Urban area,More deprived 20-30%,3,2,1,Single carriageway,30,1,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,1,2020-02-07,15:15:00,Friday,Manchester,E08000003,Urban,53.45556,-2.235955,E01005242,27.83606557,28,553.5,285.5,229.5,31,7.5,479.5,115,92.5,52.5,31.5,8,4,4.5,6,84.5,81,169.4143167,1562,9.22,140,145.5,100.5,78.5,47.5,24,10.5,7,84.5,4,4.5,97,11.5,1,144.5,15.5,25,83,7.5,0.6385101,3.49e-6,0,8,2,4450.396974,0.94817143
06E168412,2020,Slight,Male,26 - 35,0,0,Urban area,Less deprived 20-30%,8,2,1,Single carriageway,30,0,Darkness - lighting unknown,0,0,0,Non-trunk,1,1,1,1,Both,1,2020-02-04,17:45:00,Tuesday,Manchester,E08000003,Urban,53.465753,-2.257778,E01005214,29.6342537,29,987,444,441,82,20,1219,189,183,139,79,14,7,5,13,489,101,99.79114453,2389,23.94,296,319,170,117,39,26,7,10,489,20,13,137,20,3,242,21,68,184,26,0.427851726,1.79e-6,0,13,28,3746.053306,0.573590045
06E168637,2020,Slight,Male,56 - 65,0,0,Urban area,More deprived 10-20%,2,2,1,Single carriageway,30,0,Daylight,0,0,0,Non-trunk,1,1,1,1,Both,4,2020-02-13,10:35:00,Thursday,Manchester,E08000003,Urban,53.469177,-2.240716,E01005212,25.91968447,22,761,433,299,26,3,871,144,94,72,55,27,7,25,29,335,83,112.4820144,3127,27.8,324,243,108,52,23,6,3,2,335,17,34,99,14,2,172,16,37,136,10,2.112358829,7.57e-6,0,19,211,8200.01292,1.446376403
